Address (block of),Locatison,Neighborhood,Gender,Cause,Story url,Location,age,Latitude,Longitude
10000 S. Eberhart Ave.,Residence,Roseland,Female,Stabbing,http://www.chicagobreakingnews.com/2009/08/two-found-dead-on-far-south-side.html,10000 S. Eberhart Ave. Chicago,63,41.713,-87.612
6900 S. Cornell Ave.,Alley,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/17-year-old-shot-dead-in-south-shore.html,6900 S. Cornell Ave. Chicago,17,41.770,-87.584
6800 S. Marshfield Ave.,Apartment,West Englewood,Female,Strangling,http://www.chicagobreakingnews.com/2009/08/south-side-womans-death-a-homicide.html,6800 S. Marshfield Ave. Chicago,$null$,41.770,-87.665
10700 S. Calhoun Ave.,,South Deering,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/1-killed-1-hurt-in-south-deering-drive-by-shooting.html,10700 S. Calhoun Ave. Chicago,21,41.701,-87.562
6900 S. Hermitage Ave.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-critically-wounded-on-south-side.html,6900 S. Hermitage Ave. Chicago,36,41.768,-87.668
3200 W. Pierce Ave.,Sidewalk,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/west-side-man-shot-to-death-near-his-home.html,3200 W. Pierce Ave. Chicago,19,41.909,-87.707
1200 W. 61st St.,Residence,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-59-questioned-in-englewood-slaying.html,1200 W. 61st St. Chicago,36,41.783,-87.655
7100 S. Constance Ave.,Vehicle,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-slain-in-double-shooting-on-south-side-joshua-darnell.html,7100 S. Constance Ave. Chicago,29,41.766,-87.580
7100 S. Constance Ave.,Vehicle,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-slain-in-double-shooting-on-south-side-joshua-darnell.html,7100 S. Constance Ave. Chicago,28,41.766,-87.580
9500 S. Wallace St.,Street,Washington Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/1-dead-in-longwood-manor-shooting.html,9500 S. Wallace St. Chicago,24,41.721,-87.638
10700 S. Lafayette Ave.,,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-in-ongoing-feud-dies-of-wounds.html,10700 S. Lafayette Ave. Chicago,28,41.700,-87.625
1600 S. Drake Ave.,Sidewalk,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-dead-in-lawndale-1.html,1600 S. Drake Ave. Chicago,27,41.859,-87.714
5500 S. Michigan Ave.,Street,Washington Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-in-back-on-south-side.html,5500 S. Michigan Ave. Chicago,29,41.795,-87.622
300 E. 132nd Pl.,Residence,Riverdale,Female,Trauma,http://www.chicagobreakingnews.com/2009/08/cops-dcfs-probe-death-of-far-s-side-toddler.html,300 E. 132nd Pl. Chicago,$null$,41.656,-87.614
4400 S. Leclaire Ave.,Park property,Garfield Ridge,Female,Strangling,,4400 S. Leclaire Ave. Chicago,31,41.813,-87.751
1700 W. Cermak Rd.,,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-dies-3-days-after-being-shot-on-west-side.html,1700 W. Cermak Rd. Chicago,29,41.853,-87.669
9800 S. Ewing Ave.,Street,East Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-charged-in-car-passengers-shooting-death.html,9800 S. Ewing Ave. Chicago,24,41.718,-87.536
5200 W. Ferdinand St.,Residence,Austin,Female,Gunshot,http://www.chicagobreakingnews.com/2009/08/police-seek-man-in-wifes-slaying.html,5200 W. Ferdinand St. Chicago,53,41.889,-87.755
4300 S. Prairie Ave.,Porch/hallway,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/3-shot-in-bronzeville-neighborhood.html,4300 S. Prairie Ave. Chicago,50,41.817,-87.620
1900 N. Kedvale Ave.,Sidewalk,Hermosa,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-to-death-in-northwest-side-drive-by.html,1900 N. Kedvale Ave. Chicago,21,41.915,-87.731
4900 S. Wolcott Ave.,Street,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/teen-shot-dead-in-back-of-the-yards-neighborhood.html,4900 S. Wolcott Ave. Chicago,18,41.805,-87.672
901 S. Austin Blvd.,,Austin,Male,Abuse,http://www.chicagobreakingnews.com/2009/12/first-degree-murder-charges-in-nursing-home-death.html,901 S. Austin Blvd. Chicago,72,41.870,-87.774
1100 N. Harding Ave.,Alley,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-shot-in-humboldt-park.html,1100 N. Harding Ave. Chicago,16,41.901,-87.725
7500 S. Green St.,Alley,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-found-shot-in-head-in-gresham.html,7500 S. Green St. Chicago,26,41.758,-87.646
5800 S. Prairie Ave.,,Washington Park,Male,Stabbing,http://www.chicagobreakingnews.com/2009/09/man-dies-after-being-stabbed-with-steak-knife-in-august.html,5800 S. Prairie Ave. Chicago,38,41.789,-87.620
2000 W. 79th St.,Alley,Ashburn,Male,Stabbing,http://www.chicagobreakingnews.com/2009/08/2-men-stabbed-in-wrightwood-1-in-critical-condition.html,2000 W. 79th St. Chicago,29,41.750,-87.674
3300 W. Monroe St.,Alley,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-found-dead-in-east-garfield-park-alley.html,3300 W. Monroe St. Chicago,26,41.880,-87.709
2600 E. 87th St.,Sidewalk,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-found-slain-on-south-chicago-sidewalk.html,2600 E. 87th St. Chicago,29,41.737,-87.561
8700 S. Saginaw Ave.,Porch/hallway,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/teen-charged-in-slaying-of-south-chicago-man.html,8700 S. Saginaw Ave. Chicago,39,41.737,-87.560
7200 S. Carpenter St.,Sidewalk,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-critically-wounded-in-englewood-shooting.html,7200 S. Carpenter St. Chicago,26,41.763,-87.651
7400 S. East End Ave.,Street,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/south-chicago-man-fatally-shot.html,7400 S. East End Ave. Chicago,27,41.761,-87.584
2600 S. Kildare Ave.,Alley,South Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-charged-in-little-village-robbery-slaying.html,2600 S. Kildare Ave. Chicago,29,41.844,-87.732
2100 E. 71st St.,Sidewalk,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/a-man-was-shot-this.html,2100 E. 71st St. Chicago,34,41.766,-87.574
2000 E. 71st St.,,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/a-man-was-shot-this.html,2000 E. 71st St. Chicago,24,41.766,-87.576
7800 S. Creiger Ave.,Sidewalk,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/1-man-killed-1-critically-injured-in-south-south.html,7800 S. Creiger Ave. Chicago,28,41.753,-87.581
600 N. Ridgeway Ave.,Sidewalk,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-shot-in-east-garfield-park.html,600 N. Ridgeway Ave. Chicago,39,41.892,-87.720
7600 S. Hermitage Ave.,Apartment,Auburn Gresham,Female,Stabbing,http://www.chicagobreakingnews.com/2009/09/two-stabbed-during-south-side-card-game.html,7600 S. Hermitage Ave. Chicago,37,41.756,-87.668
6600 S. Cottage Grove Ave.,Alley,Woodlawn,Male,Trauma,http://www.chicagobreakingnews.com/2009/09/man-found-beaten-to-death-behind-s-side-building.html,6600 S. Cottage Grove Ave. Chicago,45,41.775,-87.606
2800 E. 95th St.,Gas station,Calumet Heights,Male,Auto crash,http://www.chicagobreakingnews.com/2009/09/police-investigating-calumet-heights-homicide.html,2800 E. 95th St. Chicago,25,41.723,-87.556
7300 S. Stony Island Ave.,Parking lot/garage,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-gunned-down-killed-in-grand-crossing.html,7300 S. Stony Island Ave. Chicago,26,41.762,-87.587
2800 S. Christiana Ave.,Other,South Lawndale,Male,Stabbing,http://www.chicagobreakingnews.com/2009/09/little-village-man-stabbed-to-death-in-home.html,2800 S. Christiana Ave. Chicago,31,41.841,-87.709
200 E. 71st St.,Sidewalk,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/south-side-man-found-shot-dead-near-vehicle.html,200 E. 71st St. Chicago,44,41.766,-87.620
6600 S. Seeley Ave.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-targeted-by-unknown-shooter-on-south-side-porch.html,6600 S. Seeley Ave. Chicago,26,41.774,-87.675
8000 S. Paulina St.,Sidewalk,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/1-man-killed-1-wounded-in-gresham-shooting.html,8000 S. Paulina St. Chicago,20,41.748,-87.666
8900 S. May St.,Alley,Washington Heights,Male,Gunshot,,8900 S. May St. Chicago,27,41.732,-87.652
700 W. 19th Pl.,Sidewalk,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-shot-dead-in-pilsen-neighborhood.html,700 W. 19th Pl. Chicago,40,41.856,-87.645
300 S. California Ave.,,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-slain-in-east-garfield-park.html,300 S. California Ave. Chicago,20,41.877,-87.696
3900 W. 30th St.,Sidewalk,South Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/1-killed-in-little-village-shooting.html,3900 W. 30th St. Chicago,17,41.839,-87.722
11700 S. Normal Ave.,Porch/hallway,West Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/1-man-dead-another-wounded-in-west-pullman-shooting.html,11700 S. Normal Ave. Chicago,24,41.682,-87.635
11100 S. Edbrooke Ave.,Sidewalk,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-gunned-down-in-roseland.html,11100 S. Edbrooke Ave. Chicago,19,41.693,-87.620
2500 N. Ashland Ave.,Residence,Lincoln Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-found-fatally-shout-in-west-depaul-apartment.html,2500 N. Ashland Ave. Chicago,29,41.927,-87.669
5100 W. Washington Blvd.,Street,Austin,Male,Stabbing,http://www.chicagobreakingnews.com/2009/09/man-stabbed-to-death-in-austin-neighborhood.html,5100 W. Washington Blvd. Chicago,23,41.882,-87.753
4700 S. Forrestville Ave.,Sidewalk,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/two-shot-in-bronzeville-one-fatally.html,4700 S. Forrestville Ave. Chicago,23,41.809,-87.613
2600 E. 105th St.,Street,South Deering,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/burbank-man-fatally-shot-in-car-after-argument.html,2600 E. 105th St. Chicago,38,41.705,-87.561
4900 S. Kildare Ave.,Sidewalk,Archer Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/teen-slain-in-archer-heights.html,4900 S. Kildare Ave. Chicago,19,41.804,-87.731
1100 W. Berwyn Ave.,Alley,Edgewater,Male,Stabbing,http://www.chicagobreakingnews.com/2009/09/man-stabbed-to-death-in-edgewater.html,1100 W. Berwyn Ave. Chicago,32,41.978,-87.658
8100 S. Green St.,Street,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/vigil-held-for-slain-high-school-student.html,8100 S. Green St. Chicago,17,41.747,-87.645
3500 W. Sunnyside Ave.,Apartment,Albany Park,Female,Gunshot,http://www.chicagobreakingnews.com/2009/09/2-shot-critically-injured-in-albany-park.html,3500 W. Sunnyside Ave. Chicago,19,41.963,-87.716
3500 W. Sunnyside Ave.,Apartment,Albany Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/2-shot-critically-injured-in-albany-park.html,3500 W. Sunnyside Ave. Chicago,24,41.963,-87.716
7100 S. Coles Ave.,,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/person-shot-during-possible-robbery-in-south-shore.html,7100 S. Coles Ave. Chicago,45,41.766,-87.565
2200 S. Kildare Ave.,Residence,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/no-bail-for-man-accused-of-killing-parents-1.html,2200 S. Kildare Ave. Chicago,79,41.851,-87.731
2200 S. Kildare Ave.,Residence,North Lawndale,Female,Gunshot,http://www.chicagobreakingnews.com/2009/09/no-bail-for-man-accused-of-killing-parents-1.html,2200 S. Kildare Ave. Chicago,77,41.851,-87.731
3000 E. 79th St.,,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/slaying-victim-found-on-south-side-street.html,3000 E. 79th St. Chicago,22,41.752,-87.553
2400 S. California Ave.,,South Lawndale,Male,Gunshot,http://mobile.chicagotribune.com/inf/infomo?view=breakingnews_article&feed:a=chi_trib_1min&feed:c=latest_breaking_news&feed:i=95E8A3444177547EA90EF77D34AD4942,2400 S. California Ave. Chicago,28,41.848,-87.695
200 W. 111th St.,Street,Roseland,Male,Trauma,http://www.chicagobreakingnews.com/2009/09/boy-16-found-slain-on-far-south-side.html,200 W. 111th St. Chicago,16,41.693,-87.628
700 N. Cicero Ave.,Street,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-dies-after-being-shot-in-south-austin.html,700 N. Cicero Ave. Chicago,20,41.893,-87.746
3700 W. Polk St.,Sidewalk,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/authorities-respond-to-west-side-shooting.html,3700 W. Polk St. Chicago,19,41.871,-87.718
3700 W. Polk St.,Sidewalk,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/authorities-respond-to-west-side-shooting.html,3700 W. Polk St. Chicago,17,41.871,-87.718
4000 W. Arthington St.,Street,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/unidentified-person-found-slain-on-west-side-street.html,4000 W. Arthington St. Chicago,29,41.870,-87.725
5200 S. Carpenter St.,Sidewalk,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-dies-from-injuries-in-weekend-shooting.html,5200 S. Carpenter St. Chicago,22,41.800,-87.652
4300 S. Francisco Ave.,Street,Brighton Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/brighton-park-shooting-francisco-chicago-police-robert-velazco-murder-charges.html,4300 S. Francisco Ave. Chicago,19,41.815,-87.697
3800 S. St. Louis Ave.,Street,Brighton Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-shot-multiple-times-in-south-lawndale.html,3800 S. St. Louis Ave. Chicago,19,41.824,-87.712
6000 S. Michigan Ave.,Apartment,Washington Park,Male,Stabbing,http://www.chicagobreakingnews.com/2009/09/cops-teen-stabbed-mothers-boyfriend.html,6000 S. Michigan Ave. Chicago,43,41.786,-87.622
3900 W. 25th St.,Sidewalk,South Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/charges-filed-in-little-village-homicide.html,3900 W. 25th St. Chicago,19,41.846,-87.722
3900 W. Roosevelt Rd.,Gas station,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/man-killed-in-lawndale-shooting.html,3900 W. Roosevelt Rd. Chicago,33,41.866,-87.723
4900 W. Hubbard St.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/09/south-austin-man-fatally-shot-while-sitting-on-porch.html,4900 W. Hubbard St. Chicago,21,41.889,-87.748
1300 E. 93rd St.,Alley,Burnside,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-in-critical-condition-after-being-shot-on-south-side.html,1300 E. 93rd St. Chicago,28,41.726,-87.592
00 S. Keeler Ave.,Sidewalk,West Garfield Pk,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-dead-after-fatal-shot-in-head-in-garfield-park.html,00 S. Keeler Ave. Chicago,24,41.881,-87.731
3000 S. Damen Ave.,Street,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-shot-in-eye-on-west-side-dies.html,3000 S. Damen Ave. Chicago,22,41.840,-87.670
4300 W. Gladys Ave.,Street,West Garfield Pk,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-found-shot-killed-in-west-garfield-park.html,4300 W. Gladys Ave. Chicago,26,41.876,-87.733
3100 S. Kedzie Ave.,Abandoned building,South Lawndale,Male,Trauma,http://www.chicagobreakingnews.com/2009/10/south-kedzie-avenue-ventura-colin-beating-cook-county-medical-examiner-chicago.html,3100 S. Kedzie Ave. Chicago,48,41.837,-87.705
1300 W. Washburne Ave.,Street,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/gunshot-victim-found-on-near-west-side.html,1300 W. Washburne Ave. Chicago,23,41.866,-87.655
2300 W. Montrose Ave.,Other,North Center,Male,Assault,http://www.chicagobreakingnews.com/2009/10/owner-severely-injured-outside-lincoln-square-bar.html,2300 W. Montrose Ave. Chicago,69,41.961,-87.686
9200 S. Burnside Ave.,,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/fatal-shooting-in-burnside-possibly-drive-by-attack.html,9200 S. Burnside Ave. Chicago,23,41.727,-87.614
2500 W. Glenlake Ave.,Street,West Ridge,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-found-slain-in-vehicle-in-west-rogers-park.html,2500 W. Glenlake Ave. Chicago,50,41.992,-87.692
3300 W. Madison St.,Sidewalk,East Garfield Pk,Female,Gunshot,http://www.chicagobreakingnews.com/2009/10/family-stands-overnight-vigil-at-site-where-woman-slain.html,3300 W. Madison St. Chicago,20,41.881,-87.709
100 N. Lavergne Ave.,Street,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-fatally-shot-in-south-austin-neighborhood.html,100 N. Lavergne Ave. Chicago,21,41.882,-87.750
700 N. Harding Ave.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-killed-in-east-garfield-park-shooting.html,700 N. Harding Ave. Chicago,22,41.894,-87.725
9200 S. Woodlawn Ave.,,Burnside,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-shot-dead-on-south-side-street.html,9200 S. Woodlawn Ave. Chicago,23,41.728,-87.595
1400 N. Washtenaw Ave.,Alley,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/killer-sought-in-humboldt-park-shooting.html,1400 N. Washtenaw Ave. Chicago,21,41.907,-87.694
8100 S. Manistee Ave.,Sidewalk,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-23-dies-after-being-found-shot-on-southeast-side.html,8100 S. Manistee Ave. Chicago,23,41.748,-87.558
2000 N. Milwaukee Ave.,Bar or tavern,Logan Square,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/4-charged-in-fight-outside-club-where-teen-was-slain.html,2000 N. Milwaukee Ave. Chicago,17,41.918,-87.689
5600 S. Ashland Ave.,Vehicle,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-shot-dead-on-south-side-3.html,5600 S. Ashland Ave. Chicago,40,41.792,-87.665
8000 S. South Shore Dr.,Residential yard,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-dies-in-south-shore-shooting.html,8000 S. South Shore Dr. Chicago,21,41.750,-87.548
1100 W. 47th St.,Other,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/teen-found-shot-killed-in-back-of-the-yards.html,1100 W. 47th St. Chicago,17,41.809,-87.653
1500 W. 87th St.,Alley,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-shot-dead-in-gresham.html,1500 W. 87th St. Chicago,40,41.736,-87.661
10500 S. Peoria St.,Vehicle,Washington Heights,Male,Gunshot,http://mobile.chicagotribune.com/inf/infomo?view=breakingnews_article&feed:a=chi_trib_1min&feed:c=latest_breaking_news&feed:i=5583EEE5CAE38B2C70483B68DC0D4B6F,10500 S. Peoria St. Chicago,17,41.703,-87.646
6300 S. Rockwell St.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-found-dead-on-street-in-marquette-park.html,6300 S. Rockwell St. Chicago,$null$,41.779,-87.689
4900 S. Langley Ave.,Sidewalk,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-killed-by-gunfire-in-bronzeville.html,4900 S. Langley Ave. Chicago,44,41.806,-87.609
3900 W. Grenshaw St.,Vehicle,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-found-shot-to-death-in-lawndale.html,3900 W. Grenshaw St. Chicago,26,41.867,-87.723
5900 W. Walton St.,Vehicle,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/man-fatally-shot-while-sitting-in-car-in-south-austin.html,5900 W. Walton St. Chicago,23,41.898,-87.773
5000 S. St. Lawrence Ave.,,Grand Blvd.,Male,Stabbing,http://www.chicagobreakingnews.com/2009/10/woman-charged-in-bronzeville-stabbing.html,5000 S. St. Lawrence Ave. Chicago,25,41.804,-87.611
6700 S. Damen Ave.,,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/west-englewood-shooting-67th-street-damen-17-year-old-chicago-police.html,6700 S. Damen Ave. Chicago,17,41.772,-87.674
2200 N. Tripp Ave.,Vehicle,Hermosa,Female,Gunshot,http://www.chicagobreakingnews.com/2009/10/body-of-woman-found-in-trunk-of-car-in-hermosa.html,2200 N. Tripp Ave. Chicago,22,41.921,-87.733
1500 W. 69th St.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/69th-ashland-shooting-englewood.html,1500 W. 69th St. Chicago,19,41.769,-87.662
1500 W. 69th St.,Sidewalk,West Englewood,Female,Gunshot,http://www.chicagobreakingnews.com/2009/10/69th-ashland-shooting-englewood.html,1500 W. 69th St. Chicago,46,41.769,-87.662
4200 S. Prairie Ave.,Apartment,Grand Blvd.,Male,Gunshot,http://www.myfoxchicago.com/dpp/news/crime/south_side_drive-by_leaves_18_year_old_dead,4200 S. Prairie Ave. Chicago,18,41.818,-87.620
900 E. 100th St.,Residence,Pullman,Female,Stabbing,http://www.chicagobreakingnews.com/2009/10/man-charged-with-killing-sister-in-far-south-side-home.html,900 E. 100th St. Chicago,47,41.713,-87.602
7300 S. Carpenter Ave.,Alley,Englewood,Female,Assault,http://www.chicagobreakingnews.com/2009/10/autopsy-woman-found-in-trash-bin-was-slain.html,7300 S. Carpenter Ave. Chicago,32,41.761,-87.651
4900 W. Iowa St.,Porch/hallway,Austin,Female,Assault,http://www.chicagobreakingnews.com/2009/11/teen-mom-was-beaten-to-death-autopsy-shows.html,4900 W. Iowa St. Chicago,16,41.897,-87.748
1700 E. 84th Pl.,Apartment,Avalon Park,Female,Trauma,http://www.chicagobreakingnews.com/2009/10/officials-to-probe-death-of-baby-girl.html,1700 E. 84th Pl. Chicago,$null$,41.742,-87.583
4200 W. Cermak Rd.,Street,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/10/1-killed-1-wounded-in-lawndale-shooting.html,4200 W. Cermak Rd. Chicago,24,41.852,-87.730
1700 N. Rockwell St.,Porch/hallway,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/2-shot-injured-in-logan-square.html,1700 N. Rockwell St. Chicago,21,41.912,-87.692
6800 S. Aberdeen St.,Sidewalk,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-dies-after-being-shot-multiple-times-on-south-side.html,6800 S. Aberdeen St. Chicago,29,41.770,-87.652
4200 W. Division St.,Sidewalk,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-dies-in-shooting-on-west-side-street.html,4200 W. Division St. Chicago,39,41.903,-87.731
5300 W. Division St.,Small retail store,Austin,Female,Gunshot,http://www.chicagobreakingnews.com/2009/11/woman-dies-after-being-shot-at-party-in-austin.html,5300 W. Division St. Chicago,24,41.902,-87.758
2200 W. Warren Blvd.,Vehicle,Near West Side,Male,Gunshot,http://www.myfoxchicago.com/dpp/news/crime/violent-halloween-weekend,2200 W. Warren Blvd. Chicago,21,41.882,-87.682
600 E. 79th St.,Parking lot/garage,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2010/01/charges-in-november-chatham-slaying.html,600 E. 79th St. Chicago,24,41.751,-87.610
3800 W. Wilcox St.,Street,West Garfield Pk,Male,Gunshot,http://mobile.chicagotribune.com/inf/infomo?view=breakingnews_article&feed:a=chi_trib_1min&feed:c=latest_breaking_news&feed:i=7DD311036351A80227E07AED8117F954,3800 W. Wilcox St. Chicago,29,41.879,-87.721
3600 W. Augusta Blvd.,Sidewalk,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-killed-in-humboldt-park-shooting.html,3600 W. Augusta Blvd. Chicago,37,41.899,-87.716
100 N. Long Ave.,Street,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-fatally-shot-in-south-austin-neighborhood-1.html,100 N. Long Ave. Chicago,24,41.882,-87.760
3300 N. Harding Ave.,Residence,Avondale,Male,Assault,http://www.chicagobreakingnews.com/2009/11/body-of-man-found-beaten-idd.html,3300 N. Harding Ave. Chicago,24,41.941,-87.726
700 E. 43rd St.,Street,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-found-shot-to-death-in-car-on-south-side.html,700 E. 43rd St. Chicago,30,41.817,-87.609
1500 S. Christiana Ave.,Street,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-shot-to-death-in-lawndale.html,1500 S. Christiana Ave. Chicago,16,41.861,-87.709
3500 S. Lake Park Ave.,Sidewalk,Oakland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-shot-to-death-on-south-side-1.html,3500 S. Lake Park Ave. Chicago,19,41.831,-87.608
1900 S. Trumbull Ave.,Apartment,North Lawndale,Male,Stabbing,http://www.chicagobreakingnews.com/2009/11/woman-charged-in-stabbing-death-of-boyfriend.html,1900 S. Trumbull Ave. Chicago,41,41.856,-87.711
1500 W. Webster Ave.,Street,Lincoln Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/chicago-man-charged-with-slaying-at-lincoln-park-nightclub.html,1500 W. Webster Ave. Chicago,29,41.922,-87.666
2100 S. California Ave.,Apartment,South Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/chicago-police-21st-california-avenue-little-village-shooting.html,2100 S. California Ave. Chicago,36,41.854,-87.696
2900 E. 87th St.,Street,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/man-shot-killed-in-south-chicago-neighborhood.html,2900 E. 87th St. Chicago,21,41.738,-87.554
2000 W. 18th St.,,Lower West Side,Male,Abuse,http://www.chicagobreakingnews.com/2009/11/an-autopsy-performed-today-onthe.html,2000 W. 18th St. Chicago,$null$,41.858,-87.676
500 W. 58th St.,Alley,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/11/rash-of-violence-spreads-throughout-city-overnight-after-stop-the-violence-day.html,500 W. 58th St. Chicago,20,41.789,-87.638
8300 S. Vincennes Ave.,Street,Chatham,Male,Auto crash,http://www.chicagobreakingnews.com/2009/11/rash-of-violence-spreads-throughout-city-overnight-after-stop-the-violence-day.html,8300 S. Vincennes Ave. Chicago,34,41.744,-87.636
